trait_name	filename	samp_prev	pop_prev
PGC1	sumstats/PGC/CasesAllCohorts/daner_MDD1_CasesAllCohorts.meta.ldsc.sumstats.gz	0.9101474143982529	0.23743158355323774
PGC2	sumstats/PGC/CasesAllCohorts/daner_MDD2_CasesAllCohorts.meta.ldsc.sumstats.gz	0.8820384023333063	0.20382043126924584
PGC3a	sumstats/PGC/CasesAllCohorts/daner_MDD3a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5261034454934237	0.10382676480472328
PGC3b	sumstats/PGC/CasesAllCohorts/daner_MDD3b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.23601829053816392	0.041902747296446205
PGC4a	sumstats/PGC/CasesAllCohorts/daner_MDD4a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.7481760602902269	0.16898770310580344
PGC4b	sumstats/PGC/CasesAllCohorts/daner_MDD4b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.30945724477007613	0.05529607679276183
PGC5a	sumstats/PGC/CasesAllCohorts/daner_MDD5a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5019794140934284	0.1010207835981469
PGC5b	sumstats/PGC/CasesAllCohorts/daner_MDD5b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.47251472425486346	0.09213994901727908
PGC6	sumstats/PGC/CasesAllCohorts/daner_MDD6_CasesAllCohorts.meta.ldsc.sumstats.gz	0.8735991034261927	0.19790654256807388
PGC7	sumstats/PGC/CasesAllCohorts/daner_MDD7_CasesAllCohorts.meta.ldsc.sumstats.gz	0.7658895705521472	0.15175915914101906
PGC8	sumstats/PGC/CasesAllCohorts/daner_MDD8_CasesAllCohorts.meta.ldsc.sumstats.gz	0.878567766193813	0.16417940719801147
PGC9	sumstats/PGC/CasesAllCohorts/daner_MDD9_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5441224093264249	0.0945824150089551
UKB_CIDI1	sumstats/UKB/CIDI/UKB_CIDI_MDD1.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5476554536187563	0.23743158355323774
UKB_CIDI2	sumstats/UKB/CIDI/UKB_CIDI_MDD2.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.39536810441521364	0.20382043126924584
UKB_CIDI3a	sumstats/UKB/CIDI/UKB_CIDI_MDD3a.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.42269621641623384	0.10382676480472328
UKB_CIDI3b	sumstats/UKB/CIDI/UKB_CIDI_MDD3b.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.23949041218993247	0.041902747296446205
UKB_CIDI4a	sumstats/UKB/CIDI/UKB_CIDI_MDD4a.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.7510013789480596	0.16898770310580344
UKB_CIDI4b	sumstats/UKB/CIDI/UKB_CIDI_MDD4b.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.16672138682776283	0.05529607679276183
UKB_CIDI6	sumstats/UKB/CIDI/UKB_CIDI_MDD6.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.819006452421224	0.19790654256807388
UKB_CIDI7	sumstats/UKB/CIDI/UKB_CIDI_MDD7.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5096421387359824	0.15175915914101906
UKB_CIDI8	sumstats/UKB/CIDI/UKB_CIDI_MDD8.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.7866338652934278	0.16417940719801147
UKB_CIDI9	sumstats/UKB/CIDI/UKB_CIDI_MDD9.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5209156804910379	0.0945824150089551
UKB_PHQ1	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD1.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ2	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD2.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ3	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD3.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ4	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD4.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ5	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD5.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ6	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD6.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ7	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD7.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ8	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD8.bgenie.QC.ldsc.sumstats.gz	NA	NA
UKB_PHQ9	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD9.bgenie.QC.ldsc.sumstats.gz	NA	NA
